,Nom_Resto,Nom_utilisateur,note
0,ASPIC,IsabelleC546,5
1,ASPIC,Corinne P,4
2,ASPIC,fran_oism742,5
3,ASPIC,VirginieLabille90,5
4,ASPIC,H1102KFdianeb,5
5,Il Etait Un Square,Mathis B,5
6,Il Etait Un Square,louanneg780,5
7,Il Etait Un Square,lucF2180WT,5
8,Il Etait Un Square,MAUXIONM,5
9,Il Etait Un Square,Laurie_mathieu_timmy,5
10,New Jawad Longchamp,Passport45952884066,5
11,New Jawad Longchamp,Charles C,5
12,New Jawad Longchamp,RachidL37,5
13,New Jawad Longchamp,Amanda M,5
14,New Jawad Longchamp,866alexiad,5
15,Restaurant Pizzamore,delore7,5
16,Restaurant Pizzamore,Maxime B,5
17,Restaurant Pizzamore,Mimolette84,5
18,Restaurant Pizzamore,micdouil,5
19,Restaurant Pizzamore,Karakal33,5
20,Mayfair Garden,grazianih2021,5
21,Mayfair Garden,nounettekenzo,5
22,Mayfair Garden,Lolo33,5
23,Mayfair Garden,684pa,5
24,Mayfair Garden,simaoalexandreesi,5
25,Bus Toqué,GuillaumeN261,5
26,Bus Toqué,martinesW1130ZU,5
27,Bus Toqué,Pierrick_Frngt,5
28,Bus Toqué,ericeL2020RU,4
29,Bus Toqué,125cac,3
30,Boutary,S4873KYhelend,5
31,Boutary,alexbnap,5
32,Boutary,91Bidou91,5
33,Boutary,PierEvi34,5
34,Boutary,redasais,5
35,Les Apotres de Pigalle,Climber58958718689,5
36,Les Apotres de Pigalle,901huberth,5
37,Les Apotres de Pigalle,Svlrd,5
38,Les Apotres de Pigalle,248margotd,5
39,Les Apotres de Pigalle,Getaway745724,5
40,La Table de Colette,YB1972,4
41,La Table de Colette,Sébastien A,3
42,La Table de Colette,299cclaire,5
43,La Table de Colette,artis644,4
44,La Table de Colette,ArnaudTr,5
45,Bao & ME,Cyanat,5
46,Bao & ME,Roving18449733310,5
47,Bao & ME,SteacreandO33,5
48,Bao & ME,Noémie J,5
49,Bao & ME,elisawfrance,5
50,Perlimpinpin,Lolo33,5
51,Perlimpinpin,louisrobr,5
52,Perlimpinpin,Nad_R25,5
53,Perlimpinpin,Nathalieqgcatillon,5
54,Perlimpinpin,AnitaC1245,5
55,Bistrot Kinzo,PPCSP,5
56,Bistrot Kinzo,dartoiss,5
57,Bistrot Kinzo,MelanieD1976,5
58,Bistrot Kinzo,lisafH7225VS,5
59,Bistrot Kinzo,Colibri211,5
60,Bistrot Instinct,477kaiss,5
61,Bistrot Instinct,victoria_csl,5
62,Bistrot Instinct,Romanesquee,5
63,Bistrot Instinct,OlivierK103,5
64,Bistrot Instinct,ergehem,5
65,Karavaki Au Jardin Du Luxembourg,LucasDi83,4
66,Karavaki Au Jardin Du Luxembourg,fredericmQ2458GF,5
67,Karavaki Au Jardin Du Luxembourg,thomasetelodieb,5
68,Karavaki Au Jardin Du Luxembourg,PhilipposApoTino,5
69,Karavaki Au Jardin Du Luxembourg,ergehem,4
70,Gosier,simonlersch,5
71,Gosier,silvioalessandra,5
72,Gosier,975clairel,5
73,Gosier,fran_oism742,5
74,Gosier,NathGarny,5
75,Le Bistrot de Madeleine,Pioneer16656376586,5
76,Le Bistrot de Madeleine,_sxrxha,5
77,Le Bistrot de Madeleine,LaurenceBerga,5
78,Le Bistrot de Madeleine,RAGNAR75013,5
79,Le Bistrot de Madeleine,tristanDlb,5
80,Pur' - Jean-François Rouquette,lrrsm,5
81,Pur' - Jean-François Rouquette,960bastienc,5
82,Pur' - Jean-François Rouquette,Fabien_chon,5
83,Pur' - Jean-François Rouquette,Venture07049072519,5
84,Pur' - Jean-François Rouquette,Sdsabc,5
85,La MiN,jfbenhaim,5
86,La MiN,Olive E,5
87,La MiN,Antho7192,5
88,La MiN,Rocatin99,5
89,La MiN,Melania M,5
90,Domenico's,Camille S,5
91,Domenico's,229baptistef,5
92,Domenico's,anaisrx,5
93,Domenico's,420geoffreyr,5
94,Domenico's,AnthonyF83000,5
95,Ya Bayte,ericlX4385CA,5
96,Ya Bayte,sophiecolo,5
97,Ya Bayte,famillec390,4
98,Ya Bayte,jordanfT2112BN,5
99,Ya Bayte,386sylvainj,5
100,Da Giuseppe,807mathisr,4
101,Da Giuseppe,Kikilafraise,4
102,Da Giuseppe,prisciliaincarnato,5
103,Da Giuseppe,juliengG3163UI,5
104,Da Giuseppe,paulinekY3347RN,5
105,Les Bariolés de Maud,viennetv,5
106,Les Bariolés de Maud,cl_ments38,5
107,Les Bariolés de Maud,690madamet,5
108,Les Bariolés de Maud,Briochedoree94,4
109,Les Bariolés de Maud,543virginiee,5
110,Pizzeria Arrivederci,chrissZ1859AG,5
111,Pizzeria Arrivederci,marcisabelle187147,5
112,Pizzeria Arrivederci,R4361MDalessandros,5
113,Pizzeria Arrivederci,elodiebZ1807XC,5
114,Pizzeria Arrivederci,Quest57835146544,5
115,Pardi,Jean-Baptiste G,5
116,Pardi,AdanetEve,5
117,Pardi,julieSres,5
118,Pardi,542ajd,5
119,Pardi,bensport,5
120,Contraste,965marief,3
121,Contraste,martialparis1601,5
122,Contraste,BFL17,5
123,Contraste,Joel G,5
124,Contraste,Joel G,5
125,Poni,Michdu15,5
126,Poni,sanjaimematheo,5
127,Poni,frimousse57,5
128,Poni,564RolandD564,5
129,Poni,Go53358881068,5
130,114 Faubourg,B3104VLrichardd,5
131,114 Faubourg,veroniquer363,5
132,114 Faubourg,MarieProuvost,5
133,114 Faubourg,Pigeon-vol,5
134,114 Faubourg,Rol2809,5
135,Au P'tit Curieux,phildub2021,5
136,Au P'tit Curieux,891thibaults,5
137,Au P'tit Curieux,Eliedenimes,5
138,Au P'tit Curieux,Hrose35,5
139,Au P'tit Curieux,eloptb,5
140,Coin-OP Table,Patrick f,5
141,Coin-OP Table,cbl12,5
142,Coin-OP Table,thibaudd900,5
143,Coin-OP Table,Geoffrey D,2
144,Coin-OP Table,Darkfab2,5
145,O’bergine,lioduc,5
146,O’bergine,yiyir2016,5
147,O’bergine,270olivierp,5
148,O’bergine,elo6812,5
149,O’bergine,Sunshine02054870789,5
150,Epicure,Val G,5
151,Epicure,Francois B,5
152,Epicure,laurydns,5
153,Epicure,JPBonnevie,5
154,Epicure,Xavier154,5
155,JJ Beaumarchais,christophe m,4
156,JJ Beaumarchais,sys1117,5
157,JJ Beaumarchais,isabellem2016,5
158,JJ Beaumarchais,Escape19544096194,5
159,JJ Beaumarchais,chachadevdev,5
160,Pianovins,jnf57v,5
161,Pianovins,603franckp,3
162,Pianovins,carabinben,5
163,Pianovins,JOSE-NTH,5
164,Pianovins,RobinFlorian,5
165,La Réserve Du Terroir,Reginldo31000,5
166,La Réserve Du Terroir,Cl0tildeC,5
167,La Réserve Du Terroir,C9643AIcharlesb,5
168,La Réserve Du Terroir,moniquel0,5
169,La Réserve Du Terroir,N9479STjulienc,5
170,Le Faham by Kelly Rangama,ThierryF659,5
171,Le Faham by Kelly Rangama,sarahflahaut,5
172,Le Faham by Kelly Rangama,Michel F,5
173,Le Faham by Kelly Rangama,X8922BQcamilled,5
174,Le Faham by Kelly Rangama,Erik L,3
175,Kei Restaurant,thomassachavalentin,5
176,Kei Restaurant,Eme003,1
177,Kei Restaurant,chris_chris21,5
178,Kei Restaurant,ab72470,5
179,Kei Restaurant,Z9782UXpatrickg,5
180,Bistro V,915killianm,5
181,Bistro V,delphiner402,5
182,Bistro V,Yair1965,5
183,Bistro V,alain B,5
184,Bistro V,nathaliesF2238KW,5
185,Le Village Russe,287sheyenneb,5
186,Le Village Russe,sheyenneg2021,5
187,Le Village Russe,f_mme_2021,5
188,Le Village Russe,solennb200,5
189,Le Village Russe,lilouc798,5
190,Signature Montmartre,hh280490,5
191,Signature Montmartre,Philou2259,5
192,Signature Montmartre,Navigator63599899105,5
193,Signature Montmartre,98lilian,5
194,Signature Montmartre,vincentlV2342SF,5
195,Frog & Underground,Connector56643642109,5
196,Frog & Underground,jadoouuu233,5
197,Frog & Underground,Arnathie,4
198,Frog & Underground,nadia a,2
199,Frog & Underground,Benja_masset,5
200,Chez Pitou,Climber22279993020,4
201,Chez Pitou,pascal F,4
202,Chez Pitou,clairepierre1234,5
203,Chez Pitou,Ragnar68000,5
204,Chez Pitou,PierreF-V,5
205,La Cantine de Mémé,Laurent L,5
206,La Cantine de Mémé,G540ACericb,5
207,La Cantine de Mémé,sandrine g,5
208,La Cantine de Mémé,Jérôme V,5
209,La Cantine de Mémé,Nomad40255457613,5
210,L'Oliveto Paris,Viantho12390,5
211,L'Oliveto Paris,Nath2808,4
212,L'Oliveto Paris,Happiness04865630338,5
213,L'Oliveto Paris,annarostowsky1,5
214,L'Oliveto Paris,P6048YSlaurenceb,5
215,Frog Hop House,M5959TEst_phanied,5
216,Frog Hop House,Lavilabilezin,4
217,Frog Hop House,Connector64770,5
218,Frog Hop House,donatienl910,5
219,Frog Hop House,robdrai,5
220,Petit Boutary,Curious45485474897,5
221,Petit Boutary,OnAir51755696596,5
222,Petit Boutary,wilsonf81,3
223,Petit Boutary,edelville,5
224,Petit Boutary,Zebre17,5
225,Frog XVI,victorcT4557LC,5
226,Frog XVI,Edern1982,5
227,Frog XVI,gaberch,5
228,Frog XVI,tommO526PH,5
229,Frog XVI,Meander41667268163,5
230,Café de Paris-Friedland,fan01710,5
231,Café de Paris-Friedland,Chloé C,5
232,Café de Paris-Friedland,351mikaelf,5
233,Café de Paris-Friedland,226micheld,5
234,Café de Paris-Friedland,Dkcarine,4
235,La Grotte de Chypre,P8468JMgerardc,5
236,La Grotte de Chypre,P6005NOlaurencem,5
237,La Grotte de Chypre,PIERRETTE29091939,5
238,La Grotte de Chypre,Thomas F,5
239,La Grotte de Chypre,Pioneer30417180790,5
240,Via Emilia,ArtCookingMaster,4
241,Via Emilia,ARNAUDduVar,5
242,Via Emilia,Kurodo,5
243,Via Emilia,Thierry F,4
244,Via Emilia,Nougatt,4
245,Aux Enfants Gates,margaux j,5
246,Aux Enfants Gates,Adelezeeee,5
247,Aux Enfants Gates,ijchaps,5
248,Aux Enfants Gates,Christophe C,5
249,Aux Enfants Gates,maminelle,5
250,Terra Mia,RVZZZ,5
251,Terra Mia,ergehem,5
252,Terra Mia,HindChouch,5
253,Terra Mia,clemenceviall,5
254,Terra Mia,jbco2020,5
255,Il Tronchetto,floprvt,5
256,Il Tronchetto,sophien2110,5
257,Il Tronchetto,benyacoubn,5
258,Il Tronchetto,boenky,5
259,Il Tronchetto,Lucie11bi,5
260,Le jardin du Kashmir,508k_vinf,5
261,Le jardin du Kashmir,TFE-TFE,5
262,Le jardin du Kashmir,Mistipouche,5
263,Le jardin du Kashmir,elisethlz,5
264,Le jardin du Kashmir,Amjad H,5
265,24 Le Restaurant,Greg0904,5
266,24 Le Restaurant,159isabelles,5
267,24 Le Restaurant,Assia B,5
268,24 Le Restaurant,Y9091ZInathalieb,5
269,24 Le Restaurant,D7152NEcharlotted,5
270,LES EPICIERS,chainlouis,5
271,LES EPICIERS,Rob_Meng_93,5
272,LES EPICIERS,Natacha61,5
273,LES EPICIERS,kikinoo,4
274,LES EPICIERS,jerome r,5
275,Patchanka,quentind130,5
276,Patchanka,olivierb59700,5
277,Patchanka,Laura R,5
278,Patchanka,romualdg359,5
279,Patchanka,Marilou29,4
280,L'Archeste,131in_sd,4
281,L'Archeste,Anaeld2014,5
282,L'Archeste,E14QVannec,5
283,L'Archeste,ardechird,5
284,L'Archeste,yapmaifakat,5
285,Mian Fan,sabbill2000,5
286,Mian Fan,LaeticiaH4,5
287,Mian Fan,BenjaminChauzet,5
288,Mian Fan,Nicolas H,5
289,Mian Fan,Hermine2900000,5
290,L’Innocence,Q2286AYbenjaminr,5
291,L’Innocence,Departure49986525362,5
292,L’Innocence,gilles r,5
293,L’Innocence,JohnAd93,5
294,L’Innocence,Smurfe,5
295,Cook' n Saj,718lioneld,4
296,Cook' n Saj,Fred S,5
297,Cook' n Saj,Val0711,5
298,Cook' n Saj,SarahT4946,5
299,Cook' n Saj,Romanelnt,5
300,Alliance,sara-devignon,5
301,Alliance,Nicolas O,5
302,Alliance,beno_tk329,5
303,Alliance,C1056RQchristinec,5
304,Alliance,isabelle59l2016,5
305,Marche Ou Crêpe,sylvainbV663HC,5
306,Marche Ou Crêpe,emiliemW2465QY,5
307,Marche Ou Crêpe,facos95,2
308,Marche Ou Crêpe,SmjX1,5
309,Marche Ou Crêpe,chaouikam,5
310,Source Infinie,MissSom,5
311,Source Infinie,FrancoiseParis18,5
312,Source Infinie,Alexandre D,5
313,Source Infinie,LiRo1117,5
314,Source Infinie,jlw1977,5
315,India StreEAT,204pascalev,5
316,India StreEAT,louisedU9038FB,5
317,India StreEAT,MagaliVui,5
318,India StreEAT,L-bouabdalla,5
319,India StreEAT,811virginiee,5
320,Le vent d'Armor,Voyager11102518900,5
321,Le vent d'Armor,Mic57-7,5
322,Le vent d'Armor,N3274QAnicolem,5
323,Le vent d'Armor,Pied J,5
324,Le vent d'Armor,Sylvette A,5
325,Madito,Landiers19,4
326,Madito,dagon6,2
327,Madito,corad470,5
328,Madito,AnaelAllaire,5
329,Madito,dadot599,5
330,Chez Ajia,D8290UDannec,5
331,Chez Ajia,scalvados,5
332,Chez Ajia,413marineb,5
333,Chez Ajia,marjoriez731,5
334,Chez Ajia,Nithou88,5
335,Pastamore,602laurents,5
336,Pastamore,afaf m,5
337,Pastamore,ScarlettClaverie,5
338,Pastamore,I4381SQmarinec,5
339,Pastamore,Barbie-5179,5
340,LA TRATTORIA DELL'ISOLA,agnesg940,5
341,LA TRATTORIA DELL'ISOLA,Priincip3ssa-82,5
342,LA TRATTORIA DELL'ISOLA,Benizo,5
343,LA TRATTORIA DELL'ISOLA,Mickaël S,5
344,LA TRATTORIA DELL'ISOLA,corinnec570,5
345,Restaurant Mumi,enzamartins,5
346,Restaurant Mumi,Vacation07642556612,5
347,Restaurant Mumi,eric g,5
348,Restaurant Mumi,yannloicp,5
349,Restaurant Mumi,Trip52601372151,5
350,Bar Italia Brasserie,MARIONalban33,5
351,Bar Italia Brasserie,Lucas Y,5
352,Bar Italia Brasserie,W3081LQmikea,5
353,Bar Italia Brasserie,sand2009,5
354,Bar Italia Brasserie,Cocowilliam,5
355,L'Orangerie - Four Seasons Hotel George V,Hercule45,5
356,L'Orangerie - Four Seasons Hotel George V,guicagr,5
357,L'Orangerie - Four Seasons Hotel George V,veroniquer363,5
358,L'Orangerie - Four Seasons Hotel George V,Eriaton,5
359,L'Orangerie - Four Seasons Hotel George V,staju,5
360,XV Burger,211c_lined,5
361,XV Burger,MMag75,2
362,XV Burger,thomasd512,5
363,XV Burger,Mégane G,5
364,XV Burger,V1024XYalainm,5
365,Le Bistrot d'Yves,HL2,5
366,Le Bistrot d'Yves,richardmacintosh,5
367,Le Bistrot d'Yves,amst0387,5
368,Le Bistrot d'Yves,400manonr,5
369,Le Bistrot d'Yves,pyhemard,5
370,La Veraison,danys707,5
371,La Veraison,Emilie R,5
372,La Veraison,Noemiecatherine,5
373,La Veraison,13benjaminp,5
374,La Veraison,MarceauPicpus,5
375,La Grange Aux Canards,AmelieHenrard11,5
376,La Grange Aux Canards,Jérôme V,5
377,La Grange Aux Canards,danieluP4304EQ,4
378,La Grange Aux Canards,Tastyadvise,5
379,La Grange Aux Canards,catherinez759,5
380,Joyti Restaurant,Etienne M,5
381,Joyti Restaurant,marchF7783TX,5
382,Joyti Restaurant,paulinecL5003IS,5
383,Joyti Restaurant,verbeke s,5
384,Joyti Restaurant,cherifi r,5
385,Restaurant H,R A,5
386,Restaurant H,JeanPierreB251,4
387,Restaurant H,135albant,5
388,Restaurant H,juliebuisson94,5
389,Restaurant H,teleporteur,5
390,Picotte,Solea14,5
391,Picotte,_Saganoren7,4
392,Picotte,victoria_csl,5
393,Picotte,FABIEN-TKD,5
394,Picotte,Vacanciers57,5
395,Wine Therapy,51micka_lp,5
396,Wine Therapy,becasseau,5
397,Wine Therapy,flo-clbl,3
398,Wine Therapy,lnchartier,5
399,Wine Therapy,Bacchus33,5
400,L'Arcane,dedo83Dragui,4
401,L'Arcane,Cedric_Reviewer,5
402,L'Arcane,Iriseaf,5
403,L'Arcane,H S,5
404,L'Arcane,JA1B,5
405,Can Alegria Paris,JYL9375,5
406,Can Alegria Paris,andreraphaelc,5
407,Can Alegria Paris,anolocjuan,5
408,Can Alegria Paris,charlineg459,5
409,Can Alegria Paris,blacquebelairt,5
410,Midi 12,sebmag7,5
411,Midi 12,Thierry F,5
412,Midi 12,odileri,5
413,Midi 12,charlotte49817,5
414,Midi 12,WalkerMoon,5
415,Gegeor,AS62600F,5
416,Gegeor,134emelined,5
417,Gegeor,890evelynec,5
418,Gegeor,coluc57,5
419,Gegeor,jc69002,5
420,AlKaram,Toni G,5
421,AlKaram,jacky D,5
422,AlKaram,mariefranceb694,5
423,AlKaram,christophet599,5
424,AlKaram,Ornella_D33,5
425,1000 & 1 Signes,Nad_R25,5
426,1000 & 1 Signes,Navigate24299301235,5
427,1000 & 1 Signes,_Saganoren7,4
428,1000 & 1 Signes,tatatoch,5
429,1000 & 1 Signes,selmie13,5
430,Chez Cleopatre,diidil,5
431,Chez Cleopatre,kelmsdi,5
432,Chez Cleopatre,najnaj2018,5
433,Chez Cleopatre,liloo95310,5
434,Chez Cleopatre,jaja0909,5
435,Sacrée fleur,Obexy27,5
436,Sacrée fleur,Philou2259,4
437,Sacrée fleur,goodPaca,4
438,Sacrée fleur,Nomad48237756651,5
439,Sacrée fleur,Thombx33240,5
440,Savarin la Table,mickaelb899,5
441,Savarin la Table,pajweb,5
442,Savarin la Table,Sarah L,5
443,Savarin la Table,Chandanicopetry,5
444,Savarin la Table,Julien S,5
445,Oinari Paris,Hoop91,5
446,Oinari Paris,HGonnord,4
447,Oinari Paris,grosmir,5
448,Oinari Paris,philmayer75,3
449,Oinari Paris,oliviercI6248DV,5
450,Tra di Noi Vasco De Gama,loutch68,5
451,Tra di Noi Vasco De Gama,Guide63921085907,5
452,Tra di Noi Vasco De Gama,Linabella19,5
453,Tra di Noi Vasco De Gama,JPA-46100,5
454,Tra di Noi Vasco De Gama,Dada S,5
455,Mian Fan,553laurianec,5
456,Mian Fan,keylo57,5
457,Mian Fan,Claraagirard,5
458,Mian Fan,Getaway05604097182,5
459,Mian Fan,joannehB5864XB,5
460,Restaurant L'INITIAL,HanserPat,5
461,Restaurant L'INITIAL,Eric R,5
462,Restaurant L'INITIAL,laurencel17,5
463,Restaurant L'INITIAL,af_marathon,5
464,Restaurant L'INITIAL,33-BORDELAIS,5
465,Cezembre,olivier1004,5
466,Cezembre,denday,5
467,Cezembre,simonD1954,5
468,Cezembre,gallan2308,5
469,Cezembre,Lapommedepin85,5
470,Hebe,Anne-sophie M,5
471,Hebe,265pierree,5
472,Hebe,998yannickp,3
473,Hebe,marccW157QW,5
474,Hebe,delphinec204,5
475,Savannah Cafe,Sissou7,5
476,Savannah Cafe,Laetitititia,5
477,Savannah Cafe,Romain_4075,5
478,Savannah Cafe,bertrand92300,5
479,Savannah Cafe,silvianX1947MF,1
480,La Pause Libanaise,Q5990DXflorenceg,5
481,La Pause Libanaise,Jean Charles T,5
482,La Pause Libanaise,W7796HHnadinek,5
483,La Pause Libanaise,A5344GPmyriamb,5
484,La Pause Libanaise,Caroline H,4
485,Seb'on,586h_l_nef,5
486,Seb'on,docvalou,5
487,Seb'on,charlesv357,5
488,Seb'on,Rosita P,5
489,Seb'on,clairebB1829VK,5
490,Tadam Paris,emanuelegU9888ZZ,5
491,Tadam Paris,564charleyd,5
492,Tadam Paris,Zeliesk,5
493,Tadam Paris,Opinion78,5
494,Tadam Paris,220mathisb,5
495,Desvouges,H4457SOpierred,5
496,Desvouges,Itinerant-perpetuel,5
497,Desvouges,jdbvo33,4
498,Desvouges,Bertnog,5
499,Desvouges,attypique,5
500,Le Bélisaire,Trail00916300387,5
501,Le Bélisaire,Thierry J,5
502,Le Bélisaire,Relax451925,5
503,Le Bélisaire,VIVIBE64,5
504,Le Bélisaire,901wild,5
505,Supernova,sbar5000,5
506,Supernova,pimpaampoum,4
507,Supernova,sweetburger,5
508,Supernova,marine1633,5
509,Supernova,geoffreyritter,5
510,La Crete,BeltranB,4
511,La Crete,790claudineb,5
512,La Crete,Louli81,5
513,La Crete,M3170UQpb,5
514,La Crete,PATRICK L,5
515,Le Cinq,Vincent A,5
516,Le Cinq,guicagr,5
517,Le Cinq,Davidncy,5
518,Le Cinq,Myna_Malina,5
519,Le Cinq,MarcMills55,5
520,The Frog Revolution,Matthieumprt,5
521,The Frog Revolution,P6773HHmariel,5
522,The Frog Revolution,juliat328,5
523,The Frog Revolution,895nene,5
524,The Frog Revolution,grandryj,5
525,Comptoir Gourmet,Renaud29_11,5
526,Comptoir Gourmet,760elod,5
527,Comptoir Gourmet,Géraldine A,5
528,Comptoir Gourmet,smartinarpp,5
529,Comptoir Gourmet,BenoitMontis,5
530,La Table d'Hami,Hapicli,5
531,La Table d'Hami,Meiiko77,5
532,La Table d'Hami,Salamesh1,5
533,La Table d'Hami,550jeanmarcv,5
534,La Table d'Hami,Jul75120,5
535,Flesh Restaurant Pigalle,696bretone,5
536,Flesh Restaurant Pigalle,maximebH1227QG,5
537,Flesh Restaurant Pigalle,G8043VZnicolass,5
538,Flesh Restaurant Pigalle,X6464SWemmanuelb,5
539,Flesh Restaurant Pigalle,Maxxxlamenace,5
540,La Réserve des Initiés,Fearless229052,5
541,La Réserve des Initiés,301juliens,5
542,La Réserve des Initiés,X9346VScatherinef,5
543,La Réserve des Initiés,francec599,5
544,La Réserve des Initiés,FXPARIS11,5
545,Les Freres Bretons,Ewan G,5
546,Les Freres Bretons,T524MUchristopher,5
547,Les Freres Bretons,Vero-Fredo78-,5
